iter,norm
0,1100048989.340393
1,275012247.33509827
2,68753061.83377457
3,17188265.45844364
4,4297066.36461091
5,1074266.5911527276
6,268566.6477881819
7,67141.66194704548
8,16785.41548676137
9,4196.353871690342
10,1049.0884679225856
11,262.2721169806464
12,65.5680292451616
13,16.3920073112904
14,4.0980018278226
15,1.02450045695565
16,0.2561251142389125
17,0.06403127855972812
18,0.01600781963993203
19,0.004001954909983008
20,0.001000488727495752
21,0.000250122181873938
22,6.25305454684845e-05
23,1.5632636367121124e-05
24,3.908159091780281e-06
25,9.770397729450702e-07
26,2.4425994323626756e-07
27,6.106498580906689e-08
28,1.5266246452266722e-08
29,3.8165616130666806e-09
30,9.541404032666701e-10
31,2.3853510081666753e-10
32,5.963377520416688e-11
33,1.490844380104172e-11
34,3.72711095026043e-12
35,9.317777375651076e-13
36,2.329444343912769e-13
37,5.823610859781922e-14
38,1.4559027149454806e-14
39,3.639756787363701e-15
40,9.099391968409253e-16
41,2.2748479921023134e-16
42,5.687119980255783e-17
43,1.421779995063946e-17
44,3.554449987659865e-18
45,8.886124969149662e-19
46,2.2215312422874154e-19
47,5.553828105718538e-20
48,1.3884570264296346e-20
49,3.4711425660740866e-21
50,8.677856415185216e-22
51,2.169464103796304e-22
52,5.42366025949076e-23
53,1.35591506487269e-23
54,3.389787662181725e-24
55,8.474469155454313e-25
56,2.118617288863578e-25
57,5.296543222158946e-26
58,1.3241358055397364e-26
59,3.310339513849341e-27
60,8.275848784623352e-28
61,2.068962196155838e-28
62,5.172405490389595e-29
63,1.2931013725973988e-29
64,3.232753431493497e-30
65,8.081883578733743e-31
66,2.0204708946834357e-31
67,5.051177236708589e-32
68,1.2627943091771473e-32
69,3.156985772942868e-33
70,7.89246443235717e-34
71,1.9731161080892926e-34
72,4.932790270223232e-35
73,1.233197567555808e-35
74,3.08299391888952e-36
75,7.7074847972238e-37
76,1.92687119930595e-37
77,4.817177998264875e-38
78,1.2042944995662186e-38
79,3.0107362489155466e-39
80,7.526840622288867e-40
81,1.8817101555722166e-40
82,4.704275388930542e-41
83,1.1760688472326354e-41
84,2.9401721180815885e-42
85,7.350430295203971e-43
86,1.837607573800993e-43
87,4.594018934502482e-44
88,1.1485047336256205e-44
89,2.871261834064051e-45
90,7.178154585160128e-46
91,1.794538646290032e-46
92,4.48634661572508e-47
93,1.12158665393127e-47
94,2.803966634828175e-48
95,7.009916587070438e-49
96,1.7524791467676094e-49
97,4.381197866919024e-50
98,1.095299466729756e-50
99,2.73824866682439e-51
100,6.845621667060974e-52
